"Cell_Index","UMIs_human","UMIs_mouse","Labels"
"1820_Cell_Index124954",1178,3652,"mainly_mouse"
"1820_Cell_Index124986",1017,2574,"mainly_mouse"
"1820_Cell_Index125208",564,1737,"mainly_mouse"
"1820_Cell_Index125489",2030,4797,"mainly_mouse"
"1820_Cell_Index125553",643,1894,"mainly_mouse"
"1820_Cell_Index125707",0,33403,"unique_mouse"
"1820_Cell_Index125732",789,2322,"mainly_mouse"
"1820_Cell_Index125800",1014,3064,"mainly_mouse"
"1820_Cell_Index125841",1018,2662,"mainly_mouse"
"1820_Cell_Index125958",1218,3684,"mainly_mouse"
"1820_Cell_Index12598",911,2997,"mainly_mouse"
"1820_Cell_Index126014",587,2088,"mainly_mouse"
"1820_Cell_Index126224",667,2163,"mainly_mouse"
"1820_Cell_Index126289",1010,3106,"mainly_mouse"
"1820_Cell_Index126336",795,2459,"mainly_mouse"
"1820_Cell_Index126407",1057,2864,"mainly_mouse"
"1820_Cell_Index126548",1100,3493,"mainly_mouse"
"1820_Cell_Index126562",790,2198,"mainly_mouse"
"1820_Cell_Index126639",1297,3893,"mainly_mouse"
"1820_Cell_Index12673",0,1258,"unique_mouse"
"1820_Cell_Index126806",826,2474,"mainly_mouse"
"1820_Cell_Index126836",553,1672,"mainly_mouse"
"1820_Cell_Index126858",4044,10384,"mainly_mouse"
"1820_Cell_Index126879",1221,3087,"mainly_mouse"
"1820_Cell_Index12696",542,1466,"mainly_mouse"
"1820_Cell_Index126962",972,3083,"mainly_mouse"
"1820_Cell_Index127416",1399,4101,"mainly_mouse"
"1820_Cell_Index127566",704,2139,"mainly_mouse"
"1820_Cell_Index127629",3680,10724,"mainly_mouse"
"1820_Cell_Index12773",660,2051,"mainly_mouse"
"1820_Cell_Index127733",675,2036,"mainly_mouse"
"1820_Cell_Index127752",736,2366,"mainly_mouse"
"1820_Cell_Index127800",611,1857,"mainly_mouse"
"1820_Cell_Index127821",689,1975,"mainly_mouse"
"1820_Cell_Index127837",502,1575,"mainly_mouse"
"1820_Cell_Index127857",690,2058,"mainly_mouse"
"1820_Cell_Index127883",1298,3819,"mainly_mouse"
"1820_Cell_Index127898",0,680,"unique_mouse"
"1820_Cell_Index12794",2097,5007,"mainly_mouse"
"1820_Cell_Index127965",506,1593,"mainly_mouse"
"1820_Cell_Index128",952,3004,"mainly_mouse"
"1820_Cell_Index128055",559,1918,"mainly_mouse"
"1820_Cell_Index128135",708,1898,"mainly_mouse"
"1820_Cell_Index128296",503,1593,"mainly_mouse"
"1820_Cell_Index12830",629,1754,"mainly_mouse"
"1820_Cell_Index128455",1262,3505,"mainly_mouse"
"1820_Cell_Index128481",685,2117,"mainly_mouse"
"1820_Cell_Index12859",742,2074,"mainly_mouse"
"1820_Cell_Index128646",1336,3682,"mainly_mouse"
"1820_Cell_Index128653",709,0,"unique_human"
"1820_Cell_Index128733",5614,13992,"mainly_mouse"
"1820_Cell_Index128939",8541,21580,"mainly_mouse"
"1820_Cell_Index129099",686,1942,"mainly_mouse"
"1820_Cell_Index129167",0,1146,"unique_mouse"
"1820_Cell_Index1294",1081,2987,"mainly_mouse"
"1820_Cell_Index129498",651,1743,"mainly_mouse"
"1820_Cell_Index129549",860,2529,"mainly_mouse"
"1820_Cell_Index129559",1007,2880,"mainly_mouse"
"1820_Cell_Index129579",710,1930,"mainly_mouse"
"1820_Cell_Index129584",0,1217,"unique_mouse"
"1820_Cell_Index129592",9207,20325,"mainly_mouse"
"1820_Cell_Index129626",1091,3204,"mainly_mouse"
"1820_Cell_Index129846",699,2171,"mainly_mouse"
"1820_Cell_Index130131",704,2264,"mainly_mouse"
"1820_Cell_Index130202",516,1478,"mainly_mouse"
"1820_Cell_Index130212",3008,8795,"mainly_mouse"
"1820_Cell_Index130246",0,792,"unique_mouse"
"1820_Cell_Index130304",4360,9589,"mainly_mouse"
"1820_Cell_Index130377",677,2018,"mainly_mouse"
"1820_Cell_Index130433",731,1904,"mainly_mouse"
"1820_Cell_Index130434",1585,4397,"mainly_mouse"
"1820_Cell_Index130516",716,1915,"mainly_mouse"
"1820_Cell_Index130537",583,1684,"mainly_mouse"
"1820_Cell_Index130647",599,1898,"mainly_mouse"
"1820_Cell_Index13065",1020,2936,"mainly_mouse"
"1820_Cell_Index130798",871,2913,"mainly_mouse"
"1820_Cell_Index130876",759,2390,"mainly_mouse"
"1820_Cell_Index1309",32253,69695,"mainly_mouse"
"1820_Cell_Index130938",643,1890,"mainly_mouse"
"1820_Cell_Index131408",801,2455,"mainly_mouse"
"1820_Cell_Index131480",1876,5421,"mainly_mouse"
"1820_Cell_Index131492",1025,2846,"mainly_mouse"
"1820_Cell_Index131505",0,1122,"unique_mouse"
"1820_Cell_Index131584",0,642,"unique_mouse"
"1820_Cell_Index131619",750,2192,"mainly_mouse"
"1820_Cell_Index131640",12476,26436,"mainly_mouse"
"1820_Cell_Index131654",4605,10961,"mainly_mouse"
"1820_Cell_Index131811",727,2387,"mainly_mouse"
"1820_Cell_Index131820",557,1565,"mainly_mouse"
"1820_Cell_Index131839",882,2600,"mainly_mouse"
